,Unnamed: 0,ID,Parcel.name,Date,Year,Area..ha.,Method_OG,Method_EN,Ti.1_So.2_Ha.3,Crop.type,Main.crop.or.cover.crop,Coordinates..center.of.the.field.,Notes,Country,Farm,geometry,Crop,type,ID_Date,Month
757,758,805,de-rus,2017-10-25,2017,1557535194,Sowing,Sowing,2,Winter wheat,Main crop,"7.73370254082604,47.2864613075036",,DE,Koln,"POLYGON ((7.732516 47.286382, 7.733961 47.28726, 7.734888 47.286536, 7.733444 47.285665, 7.732516 47.286382))",Winter crop,2,805 2017-10-25 2,October
758,759,805,de-rus,2019-04-26,2019,1557535194,Sowing,Sowing,2,Potatoes,Main crop,"7.73370254082604,47.2864613075036",,DE,Koln,"POLYGON ((7.732516 47.286382, 7.733961 47.28726, 7.734888 47.286536, 7.733444 47.285665, 7.732516 47.286382))",Summer crop,2,805 2019-04-26 2,April
759,760,805,de-rus,2019-10-26,2019,2242055131,Sowing,Sowing,2,Winter wheat,Main crop,"15.0780549399869,49.5728200862237",,DE,Koln,"POLYGON ((15.072587 49.572533, 15.073421 49.572598, 15.073441 49.572674, 15.073599 49.572738, 15.073974 49.57289, 15.074873 49.573579, 15.075514 49.573771, 15.076139 49.573873, 15.07656 49.574005, 15.076873 49.574194, 15.077573 49.574932, 15.079734 49.576147, 15.081234 49.574446, 15.079528 49.573975, 15.079981 49.572662, 15.079784 49.572566, 15.079934 49.572274, 15.080139 49.572295, 15.080317 49.572235, 15.080429 49.572065, 15.085433 49.573425, 15.085667 49.573148, 15.085694 49.572918, 15.085516 49.572687, 15.083267 49.57209, 15.081721 49.571732, 15.080991 49.571536, 15.079353 49.571011, 15.078084 49.5707, 15.077512 49.570649, 15.07736 49.571269, 15.073072 49.570917, 15.072587 49.572533),(15.0785 49.572062, 15.078586 49.57196, 15.078885 49.572047, 15.078806 49.572165, 15.0785 49.572062),(15.081111 49.571952, 15.081251 49.571754, 15.081496 49.571828, 15.081366 49.572022, 15.081111 49.571952),(15.07866 49.573219, 15.078768 49.573217, 15.078885 49.573246, 15.079018 49.573306, 15.078908 49.573318, 15.078812 49.573299, 15.07866 49.573219),(15.079288 49.57407, 15.079475 49.574077, 15.079628 49.574153, 15.079439 49.574149, 15.079288 49.57407))",Winter crop,2,805 2019-10-26 2,October
760,761,805,de-rus,2021-04-21,2021,2242055131,Sowing,Sowing,2,Sugar beet,Main crop,"15.0780549399869,49.5728200862237",,DE,Koln,"POLYGON ((15.072587 49.572533, 15.073421 49.572598, 15.073441 49.572674, 15.073599 49.572738, 15.073974 49.57289, 15.074873 49.573579, 15.075514 49.573771, 15.076139 49.573873, 15.07656 49.574005, 15.076873 49.574194, 15.077573 49.574932, 15.079734 49.576147, 15.081234 49.574446, 15.079528 49.573975, 15.079981 49.572662, 15.079784 49.572566, 15.079934 49.572274, 15.080139 49.572295, 15.080317 49.572235, 15.080429 49.572065, 15.085433 49.573425, 15.085667 49.573148, 15.085694 49.572918, 15.085516 49.572687, 15.083267 49.57209, 15.081721 49.571732, 15.080991 49.571536, 15.079353 49.571011, 15.078084 49.5707, 15.077512 49.570649, 15.07736 49.571269, 15.073072 49.570917, 15.072587 49.572533),(15.0785 49.572062, 15.078586 49.57196, 15.078885 49.572047, 15.078806 49.572165, 15.0785 49.572062),(15.081111 49.571952, 15.081251 49.571754, 15.081496 49.571828, 15.081366 49.572022, 15.081111 49.571952),(15.07866 49.573219, 15.078768 49.573217, 15.078885 49.573246, 15.079018 49.573306, 15.078908 49.573318, 15.078812 49.573299, 15.07866 49.573219),(15.079288 49.57407, 15.079475 49.574077, 15.079628 49.574153, 15.079439 49.574149, 15.079288 49.57407))",Summer crop,2,805 2021-04-21 2,April
761,762,805,de-rus,2022-04-30,2022,2242055131,Sowing,Sowing,2,Potatoes,Main crop,"15.0780549399869,49.5728200862237",,DE,Koln,"POLYGON ((15.072587 49.572533, 15.073421 49.572598, 15.073441 49.572674, 15.073599 49.572738, 15.073974 49.57289, 15.074873 49.573579, 15.075514 49.573771, 15.076139 49.573873, 15.07656 49.574005, 15.076873 49.574194, 15.077573 49.574932, 15.079734 49.576147, 15.081234 49.574446, 15.079528 49.573975, 15.079981 49.572662, 15.079784 49.572566, 15.079934 49.572274, 15.080139 49.572295, 15.080317 49.572235, 15.080429 49.572065, 15.085433 49.573425, 15.085667 49.573148, 15.085694 49.572918, 15.085516 49.572687, 15.083267 49.57209, 15.081721 49.571732, 15.080991 49.571536, 15.079353 49.571011, 15.078084 49.5707, 15.077512 49.570649, 15.07736 49.571269, 15.073072 49.570917, 15.072587 49.572533),(15.0785 49.572062, 15.078586 49.57196, 15.078885 49.572047, 15.078806 49.572165, 15.0785 49.572062),(15.081111 49.571952, 15.081251 49.571754, 15.081496 49.571828, 15.081366 49.572022, 15.081111 49.571952),(15.07866 49.573219, 15.078768 49.573217, 15.078885 49.573246, 15.079018 49.573306, 15.078908 49.573318, 15.078812 49.573299, 15.07866 49.573219),(15.079288 49.57407, 15.079475 49.574077, 15.079628 49.574153, 15.079439 49.574149, 15.079288 49.57407))",Summer crop,2,805 2022-04-30 2,April
762,763,805,de-rus,2022-10-15,2022,2242055131,Sowing,Sowing,2,Winter wheat,Main crop,"15.0780549399869,49.5728200862237",,DE,Koln,"POLYGON ((15.072587 49.572533, 15.073421 49.572598, 15.073441 49.572674, 15.073599 49.572738, 15.073974 49.57289, 15.074873 49.573579, 15.075514 49.573771, 15.076139 49.573873, 15.07656 49.574005, 15.076873 49.574194, 15.077573 49.574932, 15.079734 49.576147, 15.081234 49.574446, 15.079528 49.573975, 15.079981 49.572662, 15.079784 49.572566, 15.079934 49.572274, 15.080139 49.572295, 15.080317 49.572235, 15.080429 49.572065, 15.085433 49.573425, 15.085667 49.573148, 15.085694 49.572918, 15.085516 49.572687, 15.083267 49.57209, 15.081721 49.571732, 15.080991 49.571536, 15.079353 49.571011, 15.078084 49.5707, 15.077512 49.570649, 15.07736 49.571269, 15.073072 49.570917, 15.072587 49.572533),(15.0785 49.572062, 15.078586 49.57196, 15.078885 49.572047, 15.078806 49.572165, 15.0785 49.572062),(15.081111 49.571952, 15.081251 49.571754, 15.081496 49.571828, 15.081366 49.572022, 15.081111 49.571952),(15.07866 49.573219, 15.078768 49.573217, 15.078885 49.573246, 15.079018 49.573306, 15.078908 49.573318, 15.078812 49.573299, 15.07866 49.573219),(15.079288 49.57407, 15.079475 49.574077, 15.079628 49.574153, 15.079439 49.574149, 15.079288 49.57407))",Winter crop,2,805 2022-10-15 2,October
808,809,805,de-rus,2018-07-16,2018,1745450202,Harvesting,Harvesting,3,Winter wheat,Main crop,"1.95082434207265,48.8444239243757",,DE,Koln,"POLYGON ((1.945777 48.844604, 1.947351 48.84514, 1.948734 48.845509, 1.950189 48.845884, 1.951454 48.84631, 1.956087 48.844833, 1.951343 48.842502, 1.949509 48.843105, 1.948386 48.842772, 1.945777 48.844604))",Winter crop,3,805 2018-07-16 3,July
809,810,805,de-rus,2019-10-03,2019,1745450202,Harvesting,Harvesting,3,Potatoes,Main crop,"1.95082434207265,48.8444239243757",,DE,Koln,"POLYGON ((1.945777 48.844604, 1.947351 48.84514, 1.948734 48.845509, 1.950189 48.845884, 1.951454 48.84631, 1.956087 48.844833, 1.951343 48.842502, 1.949509 48.843105, 1.948386 48.842772, 1.945777 48.844604))",Summer crop,3,805 2019-10-03 3,October
810,811,805,de-rus,2020-07-28,2020,1745450202,Harvesting,Harvesting,3,Winter wheat,Main crop,"1.95082434207265,48.8444239243757",,DE,Koln,"POLYGON ((1.945777 48.844604, 1.947351 48.84514, 1.948734 48.845509, 1.950189 48.845884, 1.951454 48.84631, 1.956087 48.844833, 1.951343 48.842502, 1.949509 48.843105, 1.948386 48.842772, 1.945777 48.844604))",Winter crop,3,805 2020-07-28 3,July
811,812,805,de-rus,2021-11-07,2021,1745450202,Harvesting,Harvesting,3,Sugar beet,Main crop,"1.95082434207265,48.8444239243757",,DE,Koln,"POLYGON ((1.945777 48.844604, 1.947351 48.84514, 1.948734 48.845509, 1.950189 48.845884, 1.951454 48.84631, 1.956087 48.844833, 1.951343 48.842502, 1.949509 48.843105, 1.948386 48.842772, 1.945777 48.844604))",Summer crop,3,805 2021-11-07 3,November
812,813,805,de-rus,2022-10-04,2022,1745450202,Harvesting,Harvesting,3,Potatoes,Main crop,"1.95082434207265,48.8444239243757",,DE,Koln,"POLYGON ((1.945777 48.844604, 1.947351 48.84514, 1.948734 48.845509, 1.950189 48.845884, 1.951454 48.84631, 1.956087 48.844833, 1.951343 48.842502, 1.949509 48.843105, 1.948386 48.842772, 1.945777 48.844604))",Summer crop,3,805 2022-10-04 3,October
813,814,805,de-rus,2023-07-22,2023,1745450202,Harvesting,Harvesting,3,Winter wheat,Main crop,"1.95082434207265,48.8444239243757",,DE,Koln,"POLYGON ((1.945777 48.844604, 1.947351 48.84514, 1.948734 48.845509, 1.950189 48.845884, 1.951454 48.84631, 1.956087 48.844833, 1.951343 48.842502, 1.949509 48.843105, 1.948386 48.842772, 1.945777 48.844604))",Winter crop,3,805 2023-07-22 3,July
